date,remaining_gold,remaining_elixir,remaining_dark_elixir,remaining_ore,build_days_base,build_days_adjusted,gold_pass_boost_pct
2026-07-17,0,720300000,32251000,801030,1439.2,1439.2,0
2026-07-18,0,720300000,31406000,801030,1407.2,1407.2,0
2026-07-19,0,720300000,31176000,801030,1397.2,1397.2,0
2026-07-20,0,704300000,30491000,801030,1368.8,1368.8,0
2026-07-21,0,704300000,30491000,801030,1368.8,1368.8,0
2026-07-22,0,704300000,29926000,801030,1345.2,1345.2,0
2026-07-23,0,704300000,29926000,801030,1345.2,1345.2,0
2026-07-24,0,704300000,28971000,801030,1319.2,1319.2,0
2026-07-25,0,687800000,28411000,801030,1288.8,1288.8,0
2026-07-26,0,687800000,28411000,801030,1288.8,1288.8,0
2026-07-27,0,670800000,28061000,801030,1271.2,1271.2,0
2026-07-28,0,660800000,27916000,801030,1261.2,1261.2,0
2026-07-29,0,1179800000,37376000,801030,1717.2,1717.2,0
2026-07-30,0,1146800000,37226000,801030,1696.8,1696.8,0
2026-07-31,0,1146800000,37226000,801030,1696.8,1696.8,0
2026-08-01,0,1146800000,37056000,801030,1690.2,1690.2,0
2026-08-02,0,1146800000,37056000,801030,1690.2,1690.2,0
2026-08-03,0,1138800000,36921000,801030,1677.2,1677.2,0
2026-08-04,0,1138800000,36721000,801030,1670.2,1670.2,0
2026-08-05,0,1138800000,36721000,801030,1670.2,1670.2,0
2026-08-06,0,1138800000,36721000,801030,1670.2,1670.2,0
2026-08-07,0,1138800000,36721000,801030,1670.2,1670.2,0
2026-08-08,0,1138800000,36721000,774230,1670.2,1670.2,0
2026-08-09,0,1138800000,36491000,774230,1663.2,1663.2,0
2026-08-10,0,1138800000,36491000,774230,1663.2,1663.2,0
2026-08-11,0,1138800000,36261000,774230,1655.2,1655.2,0
2026-08-12,0,1138800000,35826000,774230,1642.8,1642.8,0
2026-08-13,0,1081800000,35826000,774230,1611.8,1611.8,0
2026-08-14,0,1081800000,35826000,774230,1611.8,1611.8,0
2026-08-15,0,1081800000,35826000,774230,1611.8,1611.8,0
2026-08-16,0,1081800000,35326000,774230,1596.8,1596.8,0
2026-08-17,0,1081800000,35326000,774230,1596.8,1596.8,0
2026-08-18,0,1081800000,35326000,770210,1596.8,1596.8,0
2026-08-19,0,1081800000,35326000,770210,1596.8,1596.8,0
2026-08-20,0,1081800000,35166000,770210,1591.8,1591.8,0
2026-08-21,0,1081800000,35166000,770210,1591.8,1591.8,0
2026-08-22,0,1081800000,34916000,770210,1584.8,1584.8,0
2026-08-23,0,1081800000,34751000,770210,1579.8,1579.8,0
2026-08-24,0,1081800000,34461000,770210,1571.8,1571.8,0
2026-08-25,0,1081800000,34461000,770210,1571.8,1571.8,0
2026-08-26,0,1081800000,34201000,770210,1564.8,1564.8,0
2026-08-27,0,1081800000,34031000,763310,1559.8,1559.8,0
2026-08-28,0,1081800000,34031000,763310,1559.8,1559.8,0
2026-08-29,0,1081800000,34031000,763310,1559.8,1559.8,0
2026-08-30,0,1058800000,33711000,763310,1535.8,1535.8,0
2026-08-31,0,1030300000,33266000,763310,1508.8,1508.8,0
2026-09-01,0,1030300000,33266000,763310,1508.8,1508.8,0
2026-09-02,0,1030300000,33266000,763310,1508.8,1508.8,0
2026-09-03,0,1030300000,33266000,763310,1508.8,1508.8,0
2026-09-04,0,1030300000,33086000,763310,1502.8,1502.8,0
2026-09-05,0,1030300000,32886000,763310,1494.8,1494.8,0
