date,name,town_hall,trophies,best_trophies,war_stars,attack_wins,defense_wins,donations,received,exp_level,heroes_pct,troops_pct,spells_pct,pets_pct,equipment_pct,offense_pct,rush_risk,total_levels_remaining,clan_name,clan_tag
2026-07-17,the dark LORD,17,122,4909,554,0,0,1248,144,205,80.5,85.7,76.7,56.4,57.6,81.9,14.0,575,Fearless Axe,#9GU0UC9J
2026-07-18,the dark LORD,17,135,4909,554,0,0,1596,202,205,80.9,86.6,76.7,56.4,57.6,82.4,13.5,570,Fearless Axe,#9GU0UC9J
2026-07-19,the dark LORD,17,413,4909,560,0,0,2006,321,206,80.9,86.9,76.7,56.4,57.6,82.6,13.5,569,Fearless Axe,#9GU0UC9J
2026-07-20,the dark LORD,17,9,4909,560,0,0,2315,379,206,83.2,88.1,77.4,56.4,57.6,84.2,11.9,553,Fearless Axe,#9GU0UC9J
2026-07-21,the dark LORD,17,19,4909,560,0,0,2315,379,206,83.2,88.1,77.4,56.4,57.6,84.2,11.9,553,Fearless Axe,#9GU0UC9J
2026-07-22,the dark LORD,17,46,4909,560,0,0,2411,379,206,83.2,88.7,77.4,57.1,57.6,84.4,11.6,550,Fearless Axe,#9GU0UC9J
2026-07-23,the dark LORD,17,62,4909,566,0,0,2552,437,206,83.2,88.7,77.4,57.1,57.6,84.4,11.6,550,Fearless Axe,#9GU0UC9J
2026-07-24,the dark LORD,17,62,4909,566,0,0,3071,495,206,83.9,88.7,77.4,57.9,58.7,84.8,11.2,537,Fearless Axe,#9GU0UC9J
2026-07-25,the dark LORD,17,98,4909,566,0,0,3185,611,206,84.4,89.0,78.3,57.9,58.7,85.3,10.8,533,Fearless Axe,#9GU0UC9J
2026-07-26,the dark LORD,17,98,4909,566,0,0,3273,611,206,84.4,89.0,78.3,57.9,58.7,85.3,10.8,533,Fearless Axe,#9GU0UC9J
2026-07-27,the dark LORD,17,0,4909,566,0,0,3377,611,206,84.8,89.0,78.3,58.6,58.7,85.5,10.6,530,Fearless Axe,#9GU0UC9J
2026-07-28,the dark LORD,17,54,4909,566,0,0,3686,611,207,85.1,89.3,78.3,58.6,58.7,85.7,10.3,528,Fearless Axe,#9GU0UC9J
2026-07-29,the dark LORD,18,72,4909,566,0,0,4027,611,207,80.2,85.3,73.8,59.3,59.1,81.2,14.1,583,Fearless Axe,#9GU0UC9J
2026-07-30,the dark LORD,18,552,4909,566,0,0,4721,667,207,80.9,85.6,73.8,59.3,59.3,81.6,13.7,578,Fearless Axe,#9GU0UC9J
2026-07-31,the dark LORD,18,552,4909,566,0,0,4885,669,207,80.9,85.6,73.8,59.3,59.3,81.6,13.7,578,Fearless Axe,#9GU0UC9J
2026-08-01,the dark LORD,18,590,4909,566,0,0,5278,669,207,80.9,85.9,73.8,60.0,59.3,81.7,13.7,576,Fearless Axe,#9GU0UC9J
2026-08-02,the dark LORD,18,590,4909,566,0,0,5278,669,207,80.9,85.9,73.8,60.0,59.3,81.7,13.7,576,Fearless Axe,#9GU0UC9J
2026-08-03,the dark LORD,18,0,4909,566,0,0,5677,669,208,80.9,83.7,75.4,60.0,59.3,81.2,13.5,583,Fearless Axe,#9GU0UC9J
2026-08-04,the dark LORD,18,22,4909,572,0,0,6071,725,208,80.9,83.7,75.4,60.7,59.3,81.2,13.5,582,Fearless Axe,#9GU0UC9J
2026-08-05,the dark LORD,18,57,4909,575,0,0,6185,725,208,80.9,83.7,75.4,60.7,59.3,81.2,13.5,582,Fearless Axe,#9GU0UC9J
2026-08-06,the dark LORD,18,105,4909,575,0,0,6432,780,208,80.9,83.7,75.4,60.7,59.3,81.2,13.5,582,Fearless Axe,#9GU0UC9J
